COMCOD,SEC,ROOM,DAYS_&_HOURS
1010.0,T6N,,F  1
1010.0,T7N,,M  1
1010.0,T8N,,M  1
1010.0,T9N,,M  1
1010.0,T10N,,M  1
1010.0,T11N,,M  1
1010.0,T12N,,M  1
1010.0,T13N,,Th  8
1010.0,T14N,,Th  8
1010.0,T15N,,Th  8
1010.0,T16N,1201.0,Th  8
1010.0,T17N,6102.0,Th  8
1010.0,T18N,,Th  8
1010.0,T19N,,W  1
1010.0,T20N,,W  1
1010.0,T21N,,W  1
1010.0,T22N,,W  1
1010.0,T23N,,W  1
1010.0,T24N,,W  1
1010.0,T25N,,W  1
1022.0,L1,1233.0,M W F  4
1022.0,L2,1234.0,M W F  4
1022.0,L3,1231.0,M W F  4
1022.0,L4,1226.0,M W F  4
1022.0,L5,1202.0,M W F  4
1022.0,L6,1203.0,M W F  4
1022.0,L7,6159.0,M W F  4
1022.0,L8,6163.0,M W F  4
1022.0,L9,6164.0,M W F  4
1022.0,L10,1233.0,M W F  7
1022.0,L11,1234.0,M W F  7
1022.0,L12,5106.0,M W F  7
1022.0,CH1,1233.0,T  1
1022.0,CH2,1234.0,T  1
1022.0,CH3,5101.0,T  1
1022.0,CH4,5102.0,T  1
1022.0,CH5,5105.0,T  1
1022.0,CH6,5106.0,T  1
1022.0,CH7,6159.0,T  1
1022.0,CH8,6163.0,T  1
1022.0,CH9,6164.0,T  1
1022.0,CH10,6101.0,T  1
1022.0,CH11,6102.0,T  1
1022.0,CH12,6152.0,T  1
1122.0,L1,6164.0,M W F  9
1122.0,L2,6102.0,T Th  5  F  10
1122.0,L3,6159.0,T Th  5  F  10
1122.0,L4M,,M W F  9
1122.0,T1,6164.0,M  1
1122.0,T2,1227.0,M  1
1122.0,T3,6159.0,T  2
1123.0,L1,6164.0,M W F  3
1123.0,L2,1223.0,M W F  3
1123.0,T1,6164.0,W  1
1123.0,T2,1226.0,W  1
1124.0,L1,6164.0,M  10  T Th  3
1124.0,T1,6164.0,T  7
1125.0,L1,6164.0,T Th  4  W  10
1125.0,T1,6164.0,F  1
1662.0,L1,,
1469.0,L1,6155.0,M W F  4
1469.0,T1,6155.0,T  2
1470.0,L1,6155.0,M W F  8
1470.0,T1,6155.0,T  9
1471.0,L1,6155.0,T Th  5  F  10
1471.0,T1,6155.0,Th  2
1472.0,L1,,M W F  7
1473.0,L1,6104.0,M W F  2
1679.0,L1,,
1747.0,L1,,
1696.0,L1,,
1763.0,L1,,
1480.0,L1,5106.0,M W F  2
2273.0,L1,1227.0,M  10  T Th  3
2273.0,L2M,,M  10  T Th  3
1330.0,L1,1202.0,M W F  9
1881.0,L1,6104.0,T Th  4  W  10
1476.0,L1,1201.0,M W F  7
1476.0,L2M,,M W F  7
1721.0,L1,,
939.0,L1,6152.0,M W F  7
2233.0,L1,6155.0,M W F  7
2235.0,L1,5101.0,T Th  4  W  10
2258.0,L1,6163.0,T Th  5  F  10
2429.0,L1,,T Th  4  W  10
2236.0,L1,6156.0,M W F  2
1907.0,L1,6104.0,M  4  T Th  8
1909.0,L1,,T Th  5  Th  9
1910.0,L1,6107.0,M W F  9
2363.0,L1,6160.0,M W F  8
2364.0,L1,1223.0,M  10  T Th  3
2365.0,L1,1226.0,M W F  5
2328.0,L1,6152.0,M W F  9
2329.0,L1,6152.0,T Th  4  W  10
2245.0,L1,2204.0,M W F  2
2249.0,L1,6108.0,T Th  2  F  4
2250.0,L1,1227.0,M W F  3
2379.0,L1B,6107.0,M  8
2379.0,L2N,,W  10
2379.0,P1B,,T  7 8
2379.0,P2N,,T  3 4
2379.0,P3N,,T  3 4
